,Epoch,SSIM,Time
0,0,0.9975287609100342,59.019362926483154
1,1,0.99785458278656,118.38244271278381
2,2,0.9983179841041565,177.95264267921448
3,3,0.9985189189910889,237.3986234664917
4,4,0.9985550594329834,296.89047622680664
5,5,0.9985759115219116,356.4492115974426
6,6,0.9986292161941528,415.9721043109894
7,7,0.998430302619934,475.30502486228943
8,8,0.9986413865089416,534.8669748306274
9,9,0.9987327880859375,594.2811937332153
10,10,0.9987685103416443,653.8575029373169
11,11,0.9987888860702515,713.6271233558655
12,12,0.9988025498390197,773.3385112285614
13,13,0.9987681550979615,832.8162665367126
14,14,0.9988155002593995,892.4994893074036
15,15,0.9988160495758056,952.6707117557526
16,16,0.9988872928619384,1012.2828996181488
17,17,0.998664936542511,1071.8972656726837
18,18,0.9988983383178711,1131.610033273697
19,19,0.998871506690979,1191.0991332530975
20,20,0.9989389839172363,1251.618506193161
21,21,0.9987560558319092,1311.4585773944855
22,22,0.9989281330108642,1370.7992632389069
23,23,0.9987346105575562,1430.1006705760956
24,24,0.9989686493873596,1489.6847388744354
25,25,0.998923288345337,1549.300841808319
26,26,0.9988102655410767,1609.114820241928
27,27,0.9988847227096558,1669.877958059311
28,28,0.998781789779663,1729.7908961772919
29,29,0.9990419316291809,1789.4660573005676
