,Epoch,SSIM,Time
0,0,0.3993829616069794,11.270612478256226
1,1,0.518404909992218,22.41267228126526
2,2,0.652393821144104,33.582051038742065
3,3,0.7264033573150634,44.898033618927
4,4,0.8251805695533753,56.028400182724
5,5,0.8600763612747192,67.34563207626343
6,6,0.8778955269813538,78.38667583465576
7,7,0.8809247446060181,89.54124283790588
8,8,0.8857720771789551,100.75508260726929
9,9,0.911770327949524,111.80260705947876
10,10,0.9074329586029053,122.9425265789032
11,11,0.9079142329216003,134.24454379081726
12,12,0.9174795677185058,145.23740148544312
13,13,0.9290773384094239,156.25210404396057
14,14,0.9107142803192139,167.30055713653564
15,15,0.8981214067459107,178.81799125671387
16,16,0.910762140083313,189.99045586585999
17,17,0.9123804292678833,201.17290663719177
18,18,0.9215473146438599,212.36976027488708
19,19,0.9247556781768799,223.6501054763794
20,20,0.9214556484222413,235.37767338752747
21,21,0.9306301420211792,247.53290104866028
22,22,0.9226008020401001,258.70870542526245
23,23,0.9152919684410096,269.8684525489807
24,24,0.9263722513198852,281.0027232170105
25,25,0.9181115367889404,292.2126085758209
26,26,0.926449796962738,303.4139151573181
27,27,0.9368373097419739,315.0668342113495
28,28,0.9242544876098633,326.1760528087616
29,29,0.9266165546417237,337.35515689849854
