,Epoch,SSIM_train,SSIM_test,Time
0,0,0.31958237174749377,0.5283170227050781,12.609804391860962
1,1,0.6730802393595378,0.7042726748466491,25.070446491241455
2,2,0.768455507405599,0.7799409898757934,37.303027391433716
3,3,0.8183445958455403,0.8001730892181397,49.73286581039429
4,4,0.8504707427978515,0.8412375654220581,62.05783414840698
5,5,0.8704168266296387,0.8395725514411926,74.18031883239746
6,6,0.8851120992024739,0.8501405570983886,86.62226629257202
7,7,0.8967528625488281,0.8807605400085449,98.73069024085999
8,8,0.9043629617055258,0.9078632669448853,110.86044096946716
9,9,0.910777798207601,0.8942700717926025,123.84921741485596
10,10,0.9156312465667724,0.9155234173774719,136.04807662963867
11,11,0.9200015387217204,0.9095541967391968,148.1850357055664
12,12,0.9215224653879801,0.9145904103279113,161.00384855270386
13,13,0.9239132483164469,0.9043450525283814,173.96764469146729
14,14,0.9260175134023031,0.9020863745689393,186.16461515426636
15,15,0.9283991269429525,0.8879392879486084,198.2836790084839
16,16,0.9301161450703939,0.9302431405067444,210.8172092437744
17,17,0.9312261787414551,0.9252543798446655,223.30053687095642
18,18,0.9329023485819499,0.9235262539863587,235.66760182380676
19,19,0.9323864162445068,0.9251430983543396,247.8712031841278
20,20,0.9350354918162028,0.907712705039978,260.0483891963959
21,21,0.934883111445109,0.9183708238601684,272.1820185184479
22,22,0.9350775113423665,0.9117811117172241,284.253253698349
23,23,0.9357451993306478,0.9129016223907471,296.84229159355164
24,24,0.9353304659525553,0.8882206186294556,309.35786628723145
25,25,0.9367840877532959,0.9136508651733398,321.70230507850647
26,26,0.9384265285491943,0.8969021134376526,333.8747384548187
27,27,0.9371438803354899,0.9177305142402649,346.26026582717896
28,28,0.9393919384002686,0.8886457447052002,358.4968376159668
29,29,0.938648692703247,0.8993736909866333,370.6757321357727
