,Epoch,SSIM,Time
0,0,0.6018767176628113,24.565282106399536
1,1,0.7229256525039672,43.75119209289551
2,2,0.774636572265625,62.95784020423889
3,3,0.8415548979759216,82.34029626846313
4,4,0.8291189064025879,101.72309160232544
5,5,0.8823025747299195,121.14024138450623
6,6,0.8998238757133484,140.64710211753845
7,7,0.8861789623260498,160.5343954563141
8,8,0.8699815706253051,180.1244776248932
9,9,0.8918446662902833,199.50597476959229
10,10,0.8889278415679932,218.70245742797852
11,11,0.9119663548469543,238.3126676082611
12,12,0.9196218858718872,257.6812834739685
13,13,0.9019080118179321,277.23541378974915
14,14,0.9062870468139649,296.65408635139465
15,15,0.9158296875,316.25039768218994
16,16,0.908936956501007,336.51226830482483
17,17,0.8930921499252319,356.2661044597626
18,18,0.8961929513931275,375.4232819080353
19,19,0.8985679320335388,394.49213790893555
20,20,0.8914457873344421,414.3068492412567
21,21,0.9048781319618225,434.04133462905884
22,22,0.879552522277832,453.38996982574463
23,23,0.92152112865448,472.60146617889404
24,24,0.9094922964096069,491.83214259147644
25,25,0.9003008184432983,511.0325312614441
26,26,0.870744582748413,530.2359318733215
27,27,0.9116713828086853,549.6431400775909
28,28,0.9075761548995972,569.5793700218201
29,29,0.9098777692794799,589.1779870986938
