,Epoch,SSIM,Time
0,0,0.997989203453064,101.73340797424316
1,1,0.9986148271560669,203.86273074150085
2,2,0.9987750205993652,305.99627137184143
3,3,0.9987267689704895,408.28718185424805
4,4,0.998756010055542,510.70968675613403
5,5,0.9988553447723388,612.9529180526733
6,6,0.9990049705505372,715.1679718494415
7,7,0.9990867738723754,817.435163974762
8,8,0.9990641078948974,919.7714354991913
9,9,0.9989860458374024,1022.2703969478607
10,10,0.9990532379150391,1124.0390121936798
11,11,0.9502548546791076,1226.1919312477112
12,12,0.9978325443267823,1328.475338459015
13,13,0.9982904071807861,1431.1344532966614
14,14,0.9986425018310547,1533.4354462623596
15,15,0.9986538939476013,1635.5336470603943
16,16,0.9989274582862854,1737.8747658729553
17,17,0.9989238128662109,1840.5383253097534
18,18,0.9989269070625305,1942.7204542160034
19,19,0.9990165205001831,2045.074198961258
20,20,0.9989871907234192,2147.4953541755676
21,21,0.9986511688232422,2249.845689058304
22,22,0.9990875043869019,2352.120592355728
23,23,0.9987672262191772,2454.8919043540955
24,24,0.9989051070213318,2557.0479080677032
25,25,0.9990489864349366,2659.452022075653
26,26,0.9989365525245667,2761.9303607940674
27,27,0.9990103974342346,2864.103515625
28,28,0.9987995295524598,2966.594494342804
29,29,0.998893235206604,3069.010092020035
