,Epoch,SSIM_train,SSIM_test,Time
0,0,0.9973158277702332,0.9981791868209838,104.65821957588196
1,1,0.9985785987472534,0.9985175137519836,209.86358070373535
2,2,0.9988369987678528,0.9986290187835694,315.17763471603394
3,3,0.9989612784004211,0.9989458284378052,420.02355909347534
4,4,0.9990351187896729,0.9989395785331726,524.7215871810913
5,5,0.9990842386054992,0.9989789247512817,630.1746211051941
6,6,0.9991324186897278,0.9990352020263672,735.4431245326996
7,7,0.9991826790618896,0.9990686779022216,841.1375184059143
8,8,0.9817142739486694,0.9502548427581787,946.2588138580322
9,9,0.9486520289039612,0.953422646522522,1050.847647190094
10,10,0.9952820108413696,0.9981622366905213,1156.2140300273895
11,11,0.9983654689407349,0.9985752482414245,1261.5850269794464
12,12,0.9986536209869384,0.9984508452415466,1366.9899237155914
13,13,0.998814873123169,0.9988346433639527,1472.1037340164185
14,14,0.9989585050964356,0.9987433872222901,1577.2602434158325
15,15,0.9990342828369141,0.9986582517623901,1682.5114142894745
16,16,0.9990781470489501,0.9990008759498596,1787.6718456745148
17,17,0.9991426205444336,0.999024847984314,1892.9112706184387
18,18,0.9991663467216492,0.9990718011856079,1998.2987604141235
19,19,0.9992071538734436,0.9987537059783935,2103.480356693268
20,20,0.9992166396141052,0.9990117220878602,2208.7727279663086
21,21,0.9992382508659363,0.9988579998016357,2314.0550689697266
22,22,0.9992503860092163,0.9990717754364014,2419.1065545082092
23,23,0.9992689790725708,0.9989759635925293,2524.0194017887115
24,24,0.9992770356750488,0.9991874465942383,2629.2107968330383
25,25,0.99928487449646,0.9988675618171692,2734.7755296230316
26,26,0.9992906995010375,0.9990060248374939,2840.6281270980835
27,27,0.9992927147674561,0.9990409569740295,2946.0642931461334
28,28,0.9993083522605896,0.9991654505729676,3051.3361303806305
29,29,0.999307366065979,0.9990344533920288,3156.402078151703
