,Epoch,SSIM_train,SSIM_test,Time
0,0,0.9970367269325257,0.9979117865562439,105.4435486793518
1,1,0.9984324604988098,0.9984195504188538,211.01001930236816
2,2,0.9986922804260254,0.9985574469566345,317.0316767692566
3,3,0.9988076783752441,0.9987310152053833,423.0892424583435
4,4,0.9988955988311767,0.9987900505065918,529.3278908729553
5,5,0.9989255870819091,0.9989125652313232,635.4759063720703
6,6,0.9989573398971557,0.9987647213935852,741.7855360507965
7,7,0.9989843229293823,0.9987858095169068,847.8082156181335
8,8,0.9990113755607605,0.9989837183952331,954.1770555973053
9,9,0.9990201065635681,0.9988600487709045,1060.8621339797974
10,10,0.9990355981445312,0.9988784122467042,1167.287415266037
11,11,0.999055136089325,0.9987691149711609,1273.6906850337982
12,12,0.988137547416687,0.9502548427581787,1379.3869886398315
13,13,0.94863983127594,0.9502548427581787,1484.8062062263489
14,14,0.9486398303031921,0.9502548427581787,1590.164971113205
15,15,0.9488607327270507,0.9910458068847656,1695.7876110076904
16,16,0.9959694212913514,0.9972802934646606,1802.151911020279
17,17,0.9976071501541137,0.997616895198822,1908.4508743286133
18,18,0.9979373814582825,0.9980344505310058,2014.853916168213
19,19,0.9981054194641114,0.9980306491851807,2121.348878622055
20,20,0.9984475963783264,0.9982652854919434,2228.5786967277527
21,21,0.9986254037857055,0.998474868774414,2334.9884519577026
22,22,0.9986960191726685,0.9986614484786988,2441.3507483005524
23,23,0.9987456268882752,0.9986357479095459,2547.5027334690094
24,24,0.9987923378753663,0.9987150015830993,2653.659938097
25,25,0.9988294523811341,0.9988096179962158,2760.0764203071594
26,26,0.9988611886978149,0.9986105079650879,2866.986005783081
27,27,0.9989008526229859,0.9987634592056275,2973.1981196403503
28,28,0.9989246068572998,0.9987843151092529,3079.4837968349457
29,29,0.9989435500335694,0.998826271057129,3185.6965539455414
