,Epoch,SSIM_train,SSIM_test,Time
0,0,0.3971462228660782,0.6339841203689576,11.252902030944824
1,1,0.7114290551503499,0.7423679875373841,22.476873874664307
2,2,0.795664060084025,0.8010480182647705,33.94343376159668
3,3,0.8421330504099528,0.8552620364189147,45.48331952095032
4,4,0.8681470703125,0.874474405670166,56.82135224342346
5,5,0.8846175678253174,0.8936111066818238,68.21096324920654
6,6,0.89312754834493,0.8958555514335632,79.75509452819824
7,7,0.9009982644399007,0.8924110168457031,90.97606182098389
8,8,0.9091373673756917,0.8921721622467041,102.2160415649414
9,9,0.9130871854146322,0.9084257893562316,113.6824791431427
10,10,0.9141444665273031,0.9139197004318237,124.9683473110199
11,11,0.9181563940684001,0.909920525932312,136.21635389328003
12,12,0.9203389162699381,0.914843155670166,147.49494194984436
13,13,0.9235303834279378,0.9180756673812867,158.73938655853271
14,14,0.9234842993418375,0.9219267002105713,169.94219970703125
15,15,0.9259570720672607,0.8995776502609253,181.25205445289612
16,16,0.9265144110361735,0.9278752346038819,192.41743969917297
17,17,0.9285825616200765,0.9157339645385743,203.81277298927307
18,18,0.9298316635131836,0.9237505878448486,215.02095746994019
19,19,0.9313432866414388,0.9124249626159668,226.20155382156372
20,20,0.9321376313527425,0.923384963798523,237.67068338394165
21,21,0.9314647740681966,0.9309949877738952,249.212557554245
22,22,0.9333110631306966,0.9274159057617187,260.83413910865784
23,23,0.9331648527781169,0.9217047451019287,272.5408248901367
24,24,0.9340813283284505,0.9274623259544372,283.8435001373291
25,25,0.9345618986765544,0.9141402370452881,295.1378116607666
26,26,0.9366554052988688,0.9321061201095581,306.45394372940063
27,27,0.9352571830749512,0.9303845329284668,317.6704661846161
28,28,0.9366418300628662,0.9279348760604859,329.0376455783844
29,29,0.9373598645528157,0.9338513847351074,340.2144718170166
